,Loan_ID,Name,Las_Name,Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ZIP,Primary City,latitude,longitude
98,279,64,151,1,30,0,0,0,0,1724,3488.6491603670484,104.73475752682396,360.0,0.0,1,1,33157,6,25.66,-80.17
99,77,200,111,1,36,0,0,1,0,3660,2686.1476275685545,98.28860631254642,360.0,1.0,1,1,33015,1,25.6,-80.14
100,139,357,133,0,24,1,3,0,1,2442,2772.8374743946383,141.9110202044376,360.0,1.0,0,1,33039,3,25.76,-80.24
103,213,67,114,1,23,0,0,1,1,3876,1667.995377442225,117.76286112102821,360.0,1.0,0,0,33138,3,25.49,-80.3
108,210,325,114,1,28,0,1,0,1,1514,1551.7039895427968,192.65447084460072,360.0,0.0,1,0,33167,1,25.92,-80.24
113,257,36,83,1,34,1,0,0,1,753,1380.1806091036105,104.13513881055528,480.0,0.0,0,1,33185,3,25.7,-80.29
114,213,171,10,1,32,0,0,1,0,1773,2272.2442989663277,135.65665566243982,480.0,0.0,2,1,33177,3,25.78,-80.28
121,246,210,11,1,34,0,3,0,0,2534,1637.36769437215,146.4363532223441,240.0,1.0,1,1,33122,3,25.75,-80.28
122,98,68,1,1,24,1,1,1,1,2027,1459.960639787283,110.28076919104421,360.0,0.0,1,0,33185,3,25.7,-80.41
127,20,357,0,1,24,1,0,1,0,1878,1484.2286960361587,134.43582703655358,360.0,1.0,2,1,33158,3,25.79,-80.34
128,403,54,144,1,27,0,0,0,0,1569,1695.2857968549285,114.95561085741686,360.0,1.0,2,1,33156,3,25.76,-80.15
129,401,252,135,0,20,0,0,0,0,1704,1827.8178192329372,179.60624100806723,360.0,0.0,0,0,33143,0,25.92,-80.27
131,317,347,60,1,42,1,2,1,0,1609,2298.0148927592445,98.67113170948657,360.0,1.0,2,0,33169,1,25.9,-80.32
136,148,306,56,1,41,0,2,0,0,1419,1115.7374188965941,142.57898209924372,360.0,1.0,1,0,33190,3,25.53,-80.26
141,288,249,30,1,24,1,2,0,0,2629,2271.6395846788228,120.16409447747448,180.0,1.0,0,1,33039,2,25.76,-80.24
146,214,122,171,1,23,0,0,0,0,946,2337.8959362349724,152.98607470212949,360.0,1.0,1,1,33101,3,25.78,-80.3
147,27,125,144,1,31,0,0,1,0,1600,2239.6855803290473,109.13886475531538,480.0,1.0,0,1,33137,3,25.65,-80.23
152,364,245,33,1,40,0,0,0,0,794,2878.801519584399,103.40618751685216,360.0,1.0,2,1,33175,3,25.75,-80.14
154,4,252,31,1,39,1,0,0,0,6164,1636.477397966413,270.20190824727496,360.0,1.0,0,1,33015,3,25.53,-80.39
161,9,339,106,1,25,1,0,1,0,2346,2231.0423611601545,110.38015376746637,360.0,0.0,0,1,33161,1,25.82,-80.38
162,327,144,24,1,46,1,0,0,1,2079,2266.713653278249,255.3185851349305,360.0,1.0,2,0,33014,0,25.73,-80.17
166,48,20,26,1,25,0,0,0,0,2144,1362.5132038596046,123.13516346938162,360.0,1.0,2,1,33149,3,25.79,-80.28
169,289,300,171,1,28,1,2,0,0,1755,752.8395583791216,155.3217269106594,360.0,1.0,0,1,33135,0,25.96,-80.47
170,114,321,54,0,23,1,2,0,0,901,2781.4176600183036,187.28506253290257,360.0,1.0,0,0,33136,3,25.9,-80.4
171,268,226,139,1,31,1,2,0,1,2240,2249.5549675613647,157.93265495103455,360.0,1.0,1,1,33137,3,25.85,-80.3
173,385,168,114,1,30,0,1,0,0,974,2146.3338980910185,108.59253109107622,360.0,1.0,1,1,33126,3,25.71,-80.14
178,351,240,156,1,21,0,0,0,0,2861,3820.865272209835,101.70744363409932,360.0,1.0,1,1,33167,3,25.64,-80.41
179,329,303,42,1,23,0,2,0,0,1689,2555.8548633898067,141.22046645492333,180.0,0.0,0,1,33056,3,25.93,-80.15
181,191,142,135,1,51,0,0,0,0,1678,2829.771973897767,166.79775551386138,360.0,1.0,1,0,33150,3,25.7,-80.34
183,227,164,88,0,24,0,2,0,0,1575,1824.9817760013118,109.09477010845941,180.0,0.0,1,1,33122,4,25.65,-80.51
186,151,88,87,1,42,1,0,0,0,5492,872.8517637080062,135.84084433339038,360.0,1.0,1,1,33185,3,25.82,-80.4
189,217,294,144,0,22,0,1,0,1,1136,2985.2964718089293,121.33728456089719,360.0,1.0,1,1,33143,3,25.81,-80.41
190,251,165,123,0,33,1,3,1,0,1140,2862.6264902096445,123.02084562148137,180.0,1.0,1,1,33140,3,25.7,-80.27
191,259,180,164,1,21,1,0,1,0,1669,4095.74522286161,202.28913817660927,360.0,1.0,2,1,33144,3,25.86,-80.26
194,292,191,135,1,43,1,0,0,0,1322,686.646063623286,148.3228141235728,360.0,1.0,0,1,33190,3,25.85,-80.13
196,199,301,135,0,37,0,0,0,0,1786,2764.5918910478244,219.1818666987034,360.0,1.0,0,1,33139,3,25.5,-80.18
197,74,74,126,1,28,0,0,0,0,3697,2450.9711998214857,187.04706047562246,360.0,1.0,0,0,33170,0,25.83,-80.47
201,164,157,97,1,26,0,0,0,0,2570,1834.331753241033,116.81602950535496,360.0,1.0,1,1,33158,3,25.78,-80.18
203,195,225,106,1,46,0,0,0,0,2522,1142.4212115785035,159.3587752048806,360.0,1.0,1,1,33137,3,25.77,-80.36
204,175,181,44,1,22,1,0,0,0,2031,2780.172145042733,146.54434228784916,360.0,1.0,1,0,33127,4,25.46,-80.51
205,244,213,18,1,28,0,0,0,0,1133,2507.836110810571,174.3067013403258,360.0,1.0,1,0,33132,1,25.81,-80.24
208,58,5,135,1,26,0,0,0,0,2107,1579.125705979813,129.40148680310165,360.0,1.0,2,1,33187,3,25.81,-80.28
209,118,210,106,0,33,1,1,0,0,881,3935.36302807401,151.52111024124883,360.0,1.0,0,0,33176,3,25.75,-80.3
210,305,175,68,0,26,0,3,0,0,844,1500.8792829848676,163.59744087187414,360.0,1.0,0,1,33035,1,25.9,-80.3
212,285,39,114,1,46,0,0,1,0,1309,1607.5436417711855,124.36057701324333,360.0,1.0,1,0,33180,3,25.73,-80.14
215,163,268,1,1,22,0,2,1,0,3472,1303.4095673780869,203.6166240076811,360.0,0.0,2,1,33161,3,25.81,-80.5
217,252,78,114,1,42,0,0,0,0,765,2602.8472905492154,94.11125089617084,360.0,1.0,2,1,33101,3,25.93,-80.36
219,41,358,114,0,37,0,0,0,0,1016,1091.116726144558,230.0946538922131,360.0,1.0,0,1,33176,3,25.82,-80.34
221,360,28,1,1,23,1,0,0,0,1467,2720.2234532278258,301.1171907311835,360.0,1.0,0,1,33101,3,25.92,-80.24
229,170,264,20,1,31,0,0,0,0,1204,1957.5663106924512,142.35682043931067,360.0,1.0,0,1,33173,3,25.56,-80.24
230,295,339,5,1,21,1,0,0,0,2023,1828.9077356793339,308.4622320757145,360.0,1.0,2,0,33172,0,25.86,-80.16
235,263,327,58,1,25,0,0,0,0,1433,2013.7261303607609,299.1434739924716,360.0,1.0,1,0,33178,0,25.66,-80.4
239,266,348,135,1,23,0,0,0,0,3105,2001.4728771099672,150.10189277923928,360.0,1.0,2,1,33144,3,25.56,-80.36
240,341,262,72,0,26,0,1,0,0,2848,1481.0808728383947,109.52201416399956,360.0,1.0,0,1,33167,3,25.85,-80.27
241,5,202,14,0,21,1,3,0,0,1022,2051.8094494986703,104.0248544287421,360.0,0.0,2,0,33010,3,25.7,-80.23
242,114,189,134,1,41,0,0,0,0,3648,2092.121051008147,283.1598964498287,360.0,1.0,1,1,33054,3,25.78,-80.3
244,102,148,56,1,39,1,0,1,0,1511,3342.1572234045207,152.1717297445785,360.0,1.0,1,1,33033,3,25.68,-80.16
247,216,159,147,1,46,1,0,1,0,3896,3301.1681586309687,103.53368275638631,360.0,0.0,1,1,33176,3,25.76,-80.49
248,27,356,17,1,44,0,0,0,0,3950,2419.2021962841445,144.43072210634094,360.0,0.0,0,1,33015,3,25.48,-80.24
249,307,214,122,1,29,0,0,0,0,2149,1971.7399937411747,198.3073950554092,360.0,1.0,1,1,33167,3,25.95,-80.32
250,282,257,166,1,20,1,0,1,0,1747,1579.0462639750863,104.67870803505865,360.0,0.0,0,1,33168,1,25.76,-80.26
251,54,57,135,1,27,0,2,1,0,797,3084.9344644371727,138.48568577509144,360.0,0.0,0,1,33160,3,25.68,-80.49
253,281,261,101,1,35,0,0,0,0,1260,1715.684816372831,109.0737521413452,480.0,1.0,1,1,33012,3,25.88,-80.17
255,354,152,114,1,23,0,3,0,0,2072,1212.9075724010668,170.2219546622973,360.0,1.0,1,0,33137,3,25.77,-80.38
257,367,27,154,1,22,0,1,0,1,1002,1112.7906004738916,99.97314760910302,180.0,1.0,0,1,33155,3,25.61,-80.36
258,100,176,5,1,30,1,0,0,0,1429,1691.5637213007653,220.8962742976517,360.0,1.0,1,1,33176,3,25.68,-80.41
269,337,245,114,1,23,0,0,0,0,1230,1662.8224682298471,102.48641731835104,360.0,1.0,2,1,33157,3,25.77,-80.47
275,58,353,130,1,31,1,3,0,0,1120,1580.2837545057348,186.38139889350973,360.0,1.0,0,1,33135,3,25.49,-80.34
276,244,291,161,1,47,0,0,0,0,1280,2100.8020166483166,129.45995512549987,360.0,0.0,0,0,33018,0,25.52,-80.2
282,357,82,1,0,25,0,0,0,0,1529,2383.9105330120824,95.86014020263623,240.0,1.0,2,1,33146,7,25.48,-80.28
290,7,333,94,1,30,1,0,0,0,5700,2717.868666618514,137.2134842462217,360.0,1.0,0,1,33054,3,25.82,-80.35
291,358,242,17,1,35,1,0,0,0,1026,1982.6524515308797,217.72886080206845,360.0,1.0,1,0,33143,3,25.85,-80.24
293,326,53,23,1,52,0,0,0,0,1992,1006.4251598311441,129.9143763146795,360.0,1.0,2,1,33178,3,25.48,-80.17
296,187,114,58,1,26,0,0,0,0,2372,2155.079059290563,119.43066807652741,360.0,1.0,0,0,33190,3,25.66,-80.41
300,117,109,1,1,21,0,0,1,0,1907,1406.4508929685885,139.8793557818645,360.0,1.0,2,1,33146,3,25.68,-80.4
309,121,77,114,1,21,0,0,0,0,1576,2469.9595405306377,103.9177537726332,360.0,1.0,1,1,33187,4,25.64,-80.38
311,75,12,165,1,38,0,0,0,1,2054,1089.9989311715428,100.17982354430575,360.0,0.0,0,1,33030,2,25.93,-80.45
312,178,249,119,0,43,0,0,0,0,2784,967.7646559964207,180.07702886180908,360.0,1.0,2,1,33157,3,25.9,-80.17
315,323,82,11,1,49,1,1,0,0,2478,1062.0584245079583,155.85004578903857,480.0,0.0,1,1,33170,3,25.61,-80.15
320,3,210,44,1,33,0,0,1,0,1359,1623.6260677385023,161.0790622262868,360.0,1.0,2,0,33175,7,25.89,-80.2
321,244,272,135,1,34,1,2,0,0,1948,2099.5918697922507,93.44357046318339,360.0,0.0,2,1,33167,3,25.56,-80.14
323,214,257,136,1,45,0,0,0,0,1681,2186.4661759671844,125.10999130962085,360.0,1.0,2,1,33187,3,25.9,-80.24
324,250,201,16,1,19,0,0,1,0,1358,1648.2124067819955,145.71566122895737,360.0,1.0,0,1,33175,3,25.67,-80.51
325,276,162,96,0,25,0,0,1,0,1978,2228.8200441306617,142.74174844165483,360.0,0.0,0,1,33039,3,25.82,-80.14
327,285,295,33,1,23,0,0,0,0,1127,1854.1906722443555,139.81521287620825,360.0,0.0,2,0,33010,3,25.91,-80.19
329,117,252,71,1,34,0,1,0,0,2162,2146.501893753994,169.1735399787961,360.0,1.0,0,0,33130,6,25.96,-80.21
335,262,215,67,1,38,0,0,0,1,1205,2110.1110168584173,100.98292016320713,360.0,1.0,0,1,33168,3,25.56,-80.2
336,400,182,26,1,22,0,3,0,1,2270,3121.8059811452213,116.94705374156594,360.0,1.0,1,1,33140,3,25.78,-80.49
339,202,159,26,1,23,0,0,0,0,1068,2449.959635266543,197.3152973240732,360.0,1.0,2,1,33183,3,25.92,-80.29
346,359,22,114,1,37,0,1,0,0,1302,1802.2019701521817,155.3799740827074,360.0,1.0,2,1,33109,3,25.75,-80.23
353,211,227,26,1,25,1,0,0,0,1077,1693.414337985721,107.85189386395356,360.0,1.0,0,1,33162,1,25.81,-80.41
354,8,176,130,1,21,0,1,0,0,4018,3204.77141659811,97.48938660369492,360.0,1.0,0,0,33187,3,25.81,-80.35
355,328,174,122,1,25,0,0,0,1,1816,1704.6618174274263,125.16000447153841,360.0,1.0,1,1,33184,3,25.81,-80.41
358,40,184,69,1,27,0,1,0,0,1290,2227.2978826312947,181.37726232755446,360.0,1.0,1,0,33055,3,25.94,-80.2
360,5,358,164,0,35,0,0,0,0,879,2153.0468685985747,96.79466408562232,360.0,0.0,1,0,33055,3,25.96,-80.29
362,192,301,114,1,42,1,0,0,0,1783,2363.5155828888965,128.6796514254899,360.0,1.0,0,1,33156,0,25.76,-80.18
363,19,74,16,0,22,0,3,0,0,1813,1412.1784617410967,95.28270370485085,360.0,1.0,0,0,33010,2,25.75,-80.27
366,37,336,67,1,27,0,0,0,1,3260,3118.847237364552,101.50579666178606,360.0,1.0,0,1,33169,3,25.96,-80.26
367,33,1,25,1,52,1,0,0,0,1471,830.0890425055289,227.52677839133426,360.0,1.0,0,1,33165,3,25.96,-80.2
369,375,29,159,1,48,1,0,1,0,2652,1499.7262913732927,99.88647768439694,360.0,0.0,1,1,33122,1,25.79,-80.2
372,100,147,88,1,34,0,0,0,0,2922,2739.164142837736,130.01301400828282,360.0,1.0,1,1,33018,3,25.7,-80.26
373,73,230,18,1,38,1,0,0,0,6117,1563.07442394307,110.46256615374386,360.0,1.0,1,1,33138,3,25.76,-80.24
375,267,262,130,1,26,1,0,0,0,4199,1531.443270492046,105.24954659935216,360.0,1.0,1,0,33181,3,25.67,-80.16
377,194,202,44,0,36,1,0,0,1,979,2385.2509959114186,136.30709273764256,360.0,0.0,0,1,33054,3,25.9,-80.28
378,8,89,23,1,33,1,1,0,0,1752,1499.673163491725,133.43601118606338,360.0,1.0,1,0,33180,2,25.9,-80.41
380,276,206,117,1,43,0,2,0,0,1565,871.0333336459391,107.08447082646707,360.0,1.0,2,1,33173,3,25.86,-80.4
382,402,281,135,1,32,1,0,0,0,1943,1126.7038978551316,137.42170377189106,360.0,1.0,2,1,33149,3,25.94,-80.38
383,298,14,114,1,24,1,0,0,0,1069,3105.32370147432,123.81011867915264,360.0,1.0,1,1,33126,3,25.76,-80.18
388,223,157,18,1,24,1,1,0,0,3343,3519.569863178533,132.55211785313293,360.0,1.0,0,0,33144,3,25.6,-80.24
391,220,175,54,1,38,1,2,0,0,2984,2715.088093096306,124.33077458434377,36.0,1.0,0,1,33155,7,25.93,-80.41
393,167,289,134,1,27,0,0,0,0,1060,1561.8100893730889,104.32570557396505,360.0,0.0,1,1,33128,3,25.76,-80.16
394,140,184,104,1,21,0,0,0,0,2523,2870.1813455847055,115.80778153110705,360.0,1.0,1,1,33016,1,25.27,-80.15
395,324,229,141,1,43,0,0,1,0,6590,1750.333285199078,173.71989046922585,360.0,1.0,1,1,33039,3,25.83,-80.13
396,228,354,114,1,33,0,1,0,0,1452,2049.41307482629,98.60084683232292,360.0,0.0,1,0,33185,0,25.81,-80.36
397,158,230,114,0,21,1,1,0,1,1591,2767.656968319914,97.07526578294951,360.0,1.0,0,0,33143,3,25.9,-80.18
398,75,345,30,1,27,0,0,0,0,2097,1674.2277556316826,142.2652013452808,360.0,1.0,0,1,33150,3,25.64,-80.51
400,48,57,18,1,49,1,0,1,0,980,3103.9366117931927,175.03803370293636,360.0,1.0,0,1,33160,3,25.77,-80.21
402,9,6,10,1,41,0,1,0,0,2336,1186.9516120140324,147.97620194512822,360.0,0.0,1,1,33180,3,25.89,-80.3
403,301,146,61,1,34,0,2,0,1,3415,3664.692140662246,164.90357340613497,180.0,1.0,1,0,33141,0,25.48,-80.51
405,89,20,159,1,22,0,1,0,0,1520,1845.8195834929481,136.2629233388531,360.0,1.0,2,1,33054,3,25.64,-80.31
411,209,43,167,1,39,0,1,0,0,2199,4101.9309080730945,97.60202482089554,360.0,0.0,0,0,33187,3,25.65,-80.24
413,255,83,29,1,29,1,0,0,0,2806,3073.1051495015895,131.3741838998265,180.0,0.0,2,0,33169,4,25.61,-80.3
414,399,236,83,0,25,1,0,0,0,2268,2258.459194455907,122.51944247121614,360.0,1.0,2,0,33179,1,25.96,-80.24
417,238,28,10,1,45,0,0,1,0,845,1591.244892803447,214.66271581296056,360.0,1.0,2,1,33150,3,25.91,-80.19
418,192,292,169,1,19,0,0,0,0,2405,1158.8371667857896,219.9651392602218,360.0,0.0,1,1,33033,3,25.52,-80.26
421,238,289,91,1,23,1,0,0,0,778,2156.766342669775,95.57999823199243,180.0,0.0,2,1,33141,3,25.81,-80.3
423,45,10,53,0,39,1,1,0,1,1521,2954.121854062395,203.6772783664828,360.0,1.0,1,1,33170,3,25.78,-80.47
427,56,1,16,1,32,1,0,0,0,3989,2517.165699264151,205.30405101285308,180.0,1.0,2,1,33039,1,25.27,-80.45
428,107,157,88,1,25,1,0,0,0,2987,1926.3465362872967,145.09643777717204,360.0,1.0,2,1,33155,3,25.79,-80.18
431,10,143,65,1,46,0,2,1,0,6957,1271.9031703429148,97.44604166656124,120.0,1.0,0,1,33031,3,25.76,-80.46
432,240,76,5,0,25,0,1,0,1,1625,2470.3906008070935,200.7770687583281,360.0,1.0,2,1,33170,3,25.48,-80.18
435,8,196,88,1,37,0,0,0,0,1807,2086.8003562461586,118.84278043811706,180.0,0.0,0,1,33146,2,25.73,-80.31
436,329,64,165,1,25,1,0,0,0,4256,2224.5958552000952,164.09117457048876,360.0,0.0,1,1,33013,3,25.76,-80.3
440,173,228,28,1,46,1,0,0,0,4847,3460.524907373581,92.84071459151009,360.0,1.0,0,1,33033,3,25.79,-80.21
441,174,2,5,1,22,1,0,1,0,2990,1910.4780200250743,118.58613367373543,300.0,1.0,1,1,33181,3,25.71,-80.18
442,217,325,82,1,28,1,0,0,0,4846,1165.4206597019881,164.2939457678963,360.0,0.0,1,0,33178,3,25.76,-80.17
445,351,208,28,1,36,0,0,0,1,2318,3608.110900312505,180.54525197429632,180.0,1.0,0,1,33010,2,25.81,-80.32
449,115,172,35,1,31,0,0,0,0,5681,1585.9890440024074,122.53940119294731,360.0,1.0,1,1,33031,3,25.7,-80.27
451,210,126,19,1,29,1,0,0,0,1225,2167.8978526653846,99.13297013493187,360.0,1.0,1,1,33185,3,25.64,-80.39
452,377,350,69,1,33,0,0,0,0,2774,3343.3053950014496,130.88096491649313,360.0,1.0,0,1,33176,3,25.71,-80.46
454,65,168,44,0,46,1,0,0,0,1839,1658.334471887359,124.40827529136935,360.0,1.0,0,1,33033,3,25.61,-80.18
455,384,312,114,1,21,0,0,0,0,850,3113.325539708222,180.05207116445666,360.0,1.0,0,1,33142,3,25.78,-80.41
457,337,68,12,1,52,1,1,0,0,2507,2730.6480568300176,142.62680090201917,240.0,1.0,0,0,33173,0,25.65,-80.36
458,365,206,18,1,33,0,1,0,1,2279,2059.3273854008817,139.54039231076095,300.0,1.0,1,1,33176,3,25.89,-80.24
461,152,58,46,1,49,0,0,0,0,3724,2438.631343922607,122.63925263598576,180.0,1.0,0,1,33031,3,25.85,-80.24
464,36,32,79,1,25,1,0,0,0,1381,423.1644744462267,224.59111725944177,360.0,1.0,1,1,33054,3,25.7,-80.14
465,219,281,21,1,27,1,0,0,0,3793,1993.038808542953,106.4517021551629,360.0,1.0,1,0,33185,3,25.57,-80.19
466,175,288,159,1,23,0,2,0,0,1328,1393.643326332257,186.5040877982686,360.0,1.0,1,0,33154,3,25.94,-80.34
471,136,101,151,1,40,0,0,0,0,1196,1105.6652567543672,168.7436589998304,360.0,1.0,0,1,33141,3,25.75,-80.4
472,45,127,114,1,31,0,0,1,0,5105,2322.265341145178,126.61910056941407,360.0,1.0,0,0,33185,0,25.89,-80.24
474,66,225,116,0,38,1,2,0,0,1491,2052.76563024319,219.67060728459603,360.0,1.0,2,1,33142,3,25.67,-80.15
477,92,231,114,1,48,0,0,0,0,750,2444.513187110218,113.78905323470939,180.0,1.0,0,0,33140,3,25.71,-80.23
478,387,172,52,1,22,0,1,0,0,1479,2369.007075247744,104.65614220238209,360.0,0.0,1,0,33178,3,25.48,-80.36
479,274,248,135,1,24,1,0,0,0,1142,2475.741783148477,96.79521527956442,360.0,1.0,0,1,33179,3,25.68,-80.51
483,136,312,63,1,36,0,0,0,0,1189,2734.434625843562,130.22549809014066,360.0,1.0,0,0,33033,3,25.95,-80.18
485,277,183,136,1,20,1,0,0,1,2012,1799.5463144209264,104.57764459387907,360.0,1.0,1,1,33149,6,25.48,-80.18
486,391,275,141,1,46,0,0,1,0,1723,3794.425639012534,117.42149375773128,360.0,1.0,1,1,33162,3,25.77,-80.24
487,267,47,114,1,22,1,2,0,0,2958,2833.197630214732,95.91872394400815,360.0,1.0,1,1,33134,3,25.76,-80.46
489,302,208,161,1,19,0,1,0,0,1031,2282.428181156591,155.59911170214824,360.0,1.0,1,1,33122,2,25.85,-80.28
493,368,21,147,1,31,0,0,0,0,1918,2698.3960674561727,153.48342998043316,180.0,1.0,1,1,33101,3,25.27,-80.3
494,60,325,114,1,21,0,2,0,0,1218,1385.1166420010568,259.79742793732703,180.0,0.0,1,1,33018,3,25.76,-80.14
496,210,202,119,1,31,1,1,0,0,2616,1918.0488607045888,154.47819729467653,360.0,0.0,1,1,33186,3,25.86,-80.18
498,119,241,1,1,21,0,3,0,0,997,959.590336487691,146.60922467518748,360.0,1.0,0,1,33176,3,25.78,-80.41
499,297,252,64,1,24,1,2,0,0,2535,2058.2950192543367,123.18959613077482,360.0,1.0,1,1,33012,3,25.75,-80.36
501,28,250,27,1,37,1,0,1,0,1172,2201.6463363755793,93.02361257195926,60.0,1.0,0,1,33135,0,25.9,-80.31
502,176,172,114,1,35,1,0,0,0,1055,1292.9687311853227,154.20908100896892,360.0,1.0,0,1,33161,3,25.67,-80.5
503,70,79,158,1,37,0,0,0,0,1517,1430.8240922424643,128.63759267316942,360.0,1.0,2,1,33143,0,25.82,-80.18
